POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
7854,2762,158796,0.0,0.0,0.0,3367,409,0.0,0.0,0.0
1809034,657134,24430442,0.0,0.0,0.0,643039,76086,0.0,0.0,0.0
131506,50725,1886216,0.0,0.0,0.0,52387,6230,0.0,0.0,0.0
984,430,48393,983.5498064999999,378.10134819999996,5.279967212,311,5,99.95424862804877,38.4249337601626,105.59934424
12651,4200,138819,0.0,0.0,0.0,5584,732,0.0,0.0,0.0
1641,721,48587,1072.711438,329.7646157,33.14154327,505,51,65.36937464960391,20.09534525898842,64.9834181764706
32334,10813,378655,0.0,0.0,0.0,15215,1531,0.0,0.0,0.0
110224,42331,1408099,18.386825831,2.5320957539999998,0.790396386,43131,5481,0.016681326962367543,0.002297227240891276,0.014420660207991242
1024266,404467,17012506,0.0,0.0,0.0,371137,42596,0.0,0.0,0.0
14585,6142,231645,0.0,0.0,0.0,6685,521,0.0,0.0,0.0
21766,8007,249289,0.0,0.0,0.0,7363,1480,0.0,0.0,0.0
39309,14925,412334,0.0,0.0,0.0,14287,2038,0.0,0.0,0.0
3355,1256,132014,237.34545079999998,64.43172904,3.581993652,1215,126,7.074380053651266,1.9204688238450074,2.8428521047619046
26405,9025,218582,1446.0505684999998,470.10913800000003,104.82163469,13701,1892,5.476427072524142,1.7803792387805342,5.5402555332980965
48879,15654,441034,423.62374919999996,215.59422969999997,25.65325444,22135,2973,0.8666784287730926,0.44107741504531595,0.8628743504877228
52579,20047,526109,0.0,0.0,0.0,19906,2427,0.0,0.0,0.0
86793,32187,1233746,0.0,0.0,0.0,33473,4625,0.0,0.0,0.0
67861,20969,532311,0.0,0.0,0.0,20773,2066,0.0,0.0,0.0
43205,14040,341052,0.0,0.0,0.0,17110,2023,0.0,0.0,0.0
10658,3995,189862,9.088013066,2.876027137,0.47379210299999996,4015,556,0.08526940388440608,0.026984679461437417,0.08521440701438848
33718,13037,350869,0.0,0.0,0.0,11838,1125,0.0,0.0,0.0
250304,67106,2334200,223.119245,132.5613472,30.59240534,152701,22226,0.08913930460559959,0.052960139350549724,0.13764242481778097
41280,15132,527909,0.0,0.0,0.0,17346,2160,0.0,0.0,0.0
5410,2181,126007,0.0,0.0,0.0,1772,194,0.0,0.0,0.0
131500,49016,1926779,0.0,0.0,0.0,46404,6201,0.0,0.0,0.0
13535,5289,204194,0.0,0.0,0.0,5819,752,0.0,0.0,0.0
22134,5764,166270,226.0000017,141.5045051,33.15857623,12513,1798,1.0210535904039035,0.6393083270082226,1.8441922263626251
422679,152606,7284629,0.0,0.0,0.0,100610,9977,0.0,0.0,0.0
42918,15009,800804,0.0,0.0,0.0,11994,1617,0.0,0.0,0.0
7110,2578,187438,2.4404459309999997,0.682923136,0.068439998,2487,331,0.03432413405063291,0.009605107398030941,0.020676736555891237
59127,21015,727954,0.0,0.0,0.0,18659,2368,0.0,0.0,0.0
41964,17118,502441,0.0,0.0,0.0,17210,1612,0.0,0.0,0.0
7879,2643,120527,0.0,0.0,0.0,2484,177,0.0,0.0,0.0
18550,7343,212432,0.119959433,0.063210474,0.015232151000000001,7419,925,0.0006466815795148248,0.0003407572722371968,0.0016467190270270274
14018,4297,100610,4.599100869,2.738131408,0.8033829290000001,8100,1417,0.03280853808674561,0.019532967670138394,0.0566960429781228
11677,3573,133955,1081.502770906,924.540927263,152.21850075199998,7130,1319,9.261820423961634,7.917623766917872,11.540447365579984
6629,2265,119222,3.999999864,0.247058812,0.029106028,2075,119,0.060340924181626183,0.003726939387539599,0.024458847058823528
49975,16058,714079,697.428363003,342.47838034800003,13.031829043999998,15736,1629,1.3955545032576286,0.6852994104012007,0.7999895054634745
112656,34722,1522854,0.21175212399999999,0.0,0.021389104,46334,2746,0.00018796346754722338,0.0,0.0007789185724690459
21403,7978,293090,1206.22366601,627.0418083059999,79.374220843,7502,1156,5.635769125870205,2.9296912035976264,6.866282079844291
1059,426,59688,1058.999991,215.68948109999997,15.43478247,122,10,99.99999915014163,20.36727866855524,154.3478247
306479,93545,4214347,0.0,0.0,0.0,73115,6783,0.0,0.0,0.0
18607,6003,193901,918.9001968,258.540913413,25.335439595000004,5957,581,4.938465076584081,1.389481987493954,4.3606608597246135
10976,3732,178207,12.05109361,7.282478447000001,1.220995764,3597,411,0.10979494907069971,0.06634911121537901,0.2970792613138686
5172,1930,98964,2508.9044166230005,1052.955547026,35.28815497,2191,156,48.50936613733566,20.35876927737819,22.62061216025641
9225,3889,111709,60.0288983,30.63524084,2.625865486,3892,353,0.6507197647696478,0.33208933159891596,0.7438712424929178
46163,15022,418578,1221.448884959,438.436939108,32.797812881,21821,1876,2.6459478044299547,0.9497583326646882,1.7482842687100213
10246,3093,119847,244.11788470000002,94.56818898,5.277814233,3738,330,2.3825676820222528,0.9229766638688269,1.5993376463636362
7125,2900,122954,789.7181367000001,169.67138559999998,40.30424396,2050,203,11.083763322105264,2.381352780350877,19.85430736945813
12503,4201,180435,580.0759436999999,190.96381482,17.922588942,4433,430,4.639494071022954,1.5273439560105577,4.1680439400000004
9469,2820,172605,0.009839834,0.001876239,0.000317414,2010,80,0.00010391629527933256,1.981454219030521e-05,0.0003967675
1556,576,45000,954.6178806,475.70411219999994,33.9255184,898,55,61.35076353470438,30.572243714652952,61.682760727272736
2264,805,61250,2176.711765,802.8047418,54.62483267,812,44,96.14451258833923,35.45957340106007,124.14734697727275
1029655,342622,15530202,0.0,0.0,0.0,333387,32440,0.0,0.0,0.0
14746,4505,179984,6090.866518899999,3886.9263589,410.71781833,7674,729,41.305211710972465,26.359191366472267,56.33989277503429
27822,7952,283928,0.0,0.0,0.0,10749,638,0.0,0.0,0.0
20802,7094,279229,0.0,0.0,0.0,8297,1034,0.0,0.0,0.0
36324,12990,1327193,193.77644962000002,70.91614733,2.007461268,7947,391,0.5334667151745404,0.19523220826450832,0.5134172040920717
58218,17971,646148,1332.7154341,343.63131739,42.686460943,15593,1813,2.2891810678827853,0.5902492655020783,2.354465578764479
32588,10563,394924,181.65432192,49.707387959,3.823667073,10532,809,0.5574270342457346,0.15253279722290414,0.47264117095179237
516564,140602,8750799,6.842305861,0.8302689679999999,0.149091126,182880,12020,0.0013245804703773394,0.00016072915805205162,0.001240358785357737
23530,7287,285308,10.99999984,2.576674851,0.20146519300000001,7831,440,0.046748830599235014,0.010950594351891203,0.045787543863636364
138115,46334,1159833,2622.4596875800003,1138.6198274,54.350313595,57851,4368,1.898750814596532,0.8243998315896175,1.2442837361492673
2778,1059,49583,327.8697813,127.17373319999999,4.5379676810000005,1136,32,11.80236793736501,4.577888164146867,14.181149003125002
231236,78748,3076163,0.0,0.0,0.0,78284,9379,0.0,0.0,0.0
33164,13798,393774,0.0,0.0,0.0,14498,2180,0.0,0.0,0.0
98970,38157,1896790,0.0,0.0,0.0,21717,1917,0.0,0.0,0.0
139966,68082,4780445,0.0,0.0,0.0,31036,3139,0.0,0.0,0.0
16250,6891,371919,0.0,0.0,0.0,5409,791,0.0,0.0,0.0
12690,4821,132470,0.0,0.0,0.0,4406,579,0.0,0.0,0.0
32353,12560,504868,0.0,0.0,0.0,10195,1734,0.0,0.0,0.0
14973,6033,177265,0.0,0.0,0.0,5309,989,0.0,0.0,0.0
207627,98050,7848252,0.0,0.0,0.0,38380,3468,0.0,0.0,0.0
73750,28516,796704,0.0,0.0,0.0,20110,2235,0.0,0.0,0.0
4731,2162,55650,0.0,0.0,0.0,1484,115,0.0,0.0,0.0
68676,27465,1112513,0.0,0.0,0.0,16800,2100,0.0,0.0,0.0
6222,2627,0,0.0,0.0,0.0,0,0,0.0,0.0,
6824,2566,112137,0.0,0.0,0.0,1823,363,0.0,0.0,0.0
33148,13126,594276,0.0,0.0,0.0,7189,564,0.0,0.0,0.0
17835,7879,162494,0.0,0.0,0.0,8514,1600,0.0,0.0,0.0
17434,6366,196215,0.0,0.0,0.0,6208,1466,0.0,0.0,0.0
24098,9968,272124,0.0,0.0,0.0,11507,2130,0.0,0.0,0.0
17146,5965,206387,0.0,0.0,0.0,5904,1070,0.0,0.0,0.0
6650,2603,44656,0.0,0.0,0.0,3520,465,0.0,0.0,0.0
54842,22441,699747,0.0,0.0,0.0,19029,2501,0.0,0.0,0.0
28545,10456,449777,0.0,0.0,0.0,8482,1361,0.0,0.0,0.0
30042,12831,305247,0.0,0.0,0.0,13596,1930,0.0,0.0,0.0
7256,2955,182155,0.0,0.0,0.0,2397,374,0.0,0.0,0.0
12586,5109,123557,0.0,0.0,0.0,6092,835,0.0,0.0,0.0
43475,17778,809628,0.0,0.0,0.0,18398,1681,0.0,0.0,0.0
